Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
Australia,2020/6/6 1:32,-25,133,7251,102,6688,461,28.48030417,,,1.406702524,36,AUS
Austria,2020/6/6 1:32,47.5162,14.5501,16843,672,15742,429,187.0114585,,,3.989788043,40,AUT
Canada,2020/6/6 1:32,60.001,-95.001,95947,7778,53068,35101,253.4545522,,,8.106558829,124,CAN
China,2020/6/6 1:32,30.5928,114.3055,84177,4638,79420,119,5.992626074,,,5.509818597,156,CHN
Denmark,2020/6/6 1:32,56.2639,9.5018,12075,586,10853,636,208.4699034,,,4.85300207,208,DNK
Finland,2020/6/6 1:32,61.9241,25.7482,6941,322,5800,819,125.272573,,,4.639100994,246,FIN
France,2020/6/6 1:32,46.2276,2.2137,190180,29114,70622,90444,291.3586142,,,15.30865496,250,FRA
Germany,2020/6/6 1:32,51.165691,10.451526,184924,8658,168480,7786,220.7153172,,,4.681923385,276,DEU
Iceland,2020/6/6 1:32,64.9631,-19.0208,1806,10,1794,2,529.2307692,,,0.553709856,352,ISL
Ireland,2020/6/6 1:32,53.1424,-7.6921,25163,1670,22698,795,509.5998296,,,6.63672853,372,IRL
Italy,2020/6/6 1:32,41.8719,12.5674,234531,33774,163781,36976,387.8992875,,,14.40065492,380,ITA
Netherlands,2020/6/6 1:32,52.3167,5.55,47358,6024,181,41153,276.3837234,,,12.72013176,528,NLD
Norway,2020/6/6 1:32,60.472,8.4689,8522,238,8138,146,157.1964506,,,2.79277165,578,NOR
Russia,2020/6/6 1:32,61.524,105.3188,449256,5520,212237,231499,307.8477832,,,1.228698114,643,RUS
Sweden,2020/6/6 1:32,60.1282,18.6435,42939,4639,,38300,425.1693439,,,10.80369827,752,SWE
Switzerland,2020/6/6 1:32,46.8182,8.2275,30936,1921,28600,415,357.4507852,,,6.209594001,756,CHE
United Kingdom,2020/6/6 1:32,55,-3,284734,40344,1228,243162,419.4296073,,,14.16901389,826,GBR
US,2020/6/6 1:32,40,-100,1897239,109127,491706,1344028,575.8522489,,,5.751884712,840,USA
Spain,2020/6/6 1:32,40.463667,-3.74922,240978,27134,150376,63468,515.4082311,,,11.25994904,724,ESP
Mexico,2020/6/6 1:32,23.6345,-102.5528,110026,13170,77841,19015,86.09752861,,,11.96989802,484,MEX
Chile,2020/6/6 1:32,-35.6751,-71.543,122499,1448,99358,21693,640.8122029,,,1.182050466,152,CHL
Brazil,2020/6/6 1:32,-14.235,-51.9253,646006,35047,288652,580920,289.303119,,,5.532400669,76,BRA
Peru,2020/6/6 1:32,-9.19,-75.0152,187400,5162,79214,103024,568.3636882,,,2.754535752,604,PER
Colombia,2020/6/6 1:32,4.5709,-74.2973,35240,1142,12952,21146,69.25708063,,,3.240635641,170,COL
Japan,2020/6/6 1:32,36.204824,138.252924,16958,916,14925,1117,13.40802887,,,5.401580375,392,JPN
Ukraine,2020/6/6 1:32,48.3794,31.1656,26542,770,11815,13957,60.68995807,,,2.901062467,804,UKR
Afghanistan,2020/6/6 1:32,33.93911,67.709953,18969,309,1762,16898,48.72799486,,,1.628973588,4,AFG
Albania,2020/6/6 1:32,41.1533,20.1683,1212,33,910,269,42.1155049,,,2.722772277,8,ALB
Algeria,2020/6/6 1:32,28.0339,1.6596,9935,690,6453,2792,22.6562456,,,6.945143432,12,DZA
Andorra,2020/6/6 1:32,42.5063,1.5218,852,51,741,60,1102.698505,,,5.985915493,20,AND
Angola,2020/6/6 1:32,-11.2027,17.8739,86,4,21,61,0.26166646,,,4.651162791,24,AGO
Antigua and Barbuda,2020/6/6 1:32,17.0608,-61.7964,26,3,20,3,26.55011845,,,11.53846154,28,ATG
Argentina,2020/6/6 1:32,-38.4161,-63.6167,21037,632,6088,14317,46.54638419,,,3.004230641,32,ARG
Armenia,2020/6/6 1:32,40.0691,45.0382,11817,183,3513,8121,398.7872709,,,1.5486164,51,ARM
Azerbaijan,2020/6/6 1:32,40.1431,47.5769,6860,82,3871,2907,67.65836471,,,1.195335277,31,AZE
Bahamas,2020/6/6 1:32,25.025885,-78.035889,102,11,55,36,25.93783058,,,10.78431373,44,BHS
Bahrain,2020/6/6 1:32,26.0275,50.55,13835,22,8585,5228,813.0664211,,,0.159016986,48,BHR
Bangladesh,2020/6/6 1:32,23.685,90.3563,60391,811,12804,46776,36.66963765,,,1.342915335,50,BGD
Barbados,2020/6/6 1:32,13.1939,-59.5432,92,7,81,4,32.01436471,,,7.608695652,52,BRB
Belarus,2020/6/6 1:32,53.7098,27.9534,46868,259,22066,24543,495.99331,,,0.552615857,112,BLR
Belgium,2020/6/6 1:32,50.8333,4.469936,58907,9566,16112,33229,508.2739583,,,16.23915664,56,BEL
Belize,2020/6/6 1:32,17.1899,-88.4976,19,2,16,1,4.778419651,,,10.52631579,84,BLZ
Benin,2020/6/6 1:32,9.3077,2.3158,261,3,151,107,2.15289728,,,1.149425287,204,BEN
Bhutan,2020/6/6 1:32,27.5142,90.4336,48,0,11,37,6.220743068,,,0,64,BTN
Bolivia,2020/6/6 1:32,-16.2902,-63.5887,12245,415,1658,10172,104.8999364,,,3.389138424,68,BOL
Bosnia and Herzegovina,2020/6/6 1:32,43.9159,17.6791,2606,159,1968,479,79.43148273,,,6.101304682,70,BIH
Botswana,2020/6/6 1:32,-22.3285,24.6849,40,1,23,16,1.70095147,,,2.5,72,BWA
Brunei,2020/6/6 1:32,4.5353,114.7277,141,2,138,1,32.22982379,,,1.418439716,96,BRN
Bulgaria,2020/6/6 1:32,42.7339,25.4858,2627,159,1390,1078,37.80702013,,,6.052531405,100,BGR
Burkina Faso,2020/6/6 1:32,12.2383,-1.5616,888,53,760,75,4.248137541,,,5.968468468,854,BFA
Burma,2020/6/6 1:32,21.9162,95.956,236,6,151,79,0.433745439,,,2.542372881,104,MMR
Burundi,2020/6/6 1:32,-3.3731,29.9189,63,1,33,29,0.529822221,,,1.587301587,108,BDI
Cabo Verde,2020/6/6 1:32,16.5388,-23.0418,536,5,239,292,96.40495838,,,0.932835821,132,CPV
Cambodia,2020/6/6 1:32,11.55,104.9167,125,0,123,2,0.747653668,,,0,116,KHM
Cameroon,2020/6/6 1:32,3.848,11.5021,7392,205,4575,2612,27.84614583,,,2.773268398,120,CMR
Central African Republic,2020/6/6 1:32,6.6111,20.9394,1451,4,29,1418,30.0428758,,,0.27567195,140,CAF
Chad,2020/6/6 1:32,15.4542,18.7322,836,68,657,111,5.089535957,,,8.133971292,148,TCD
Comoros,2020/6/6 1:32,-11.6455,43.3333,132,2,55,75,15.1794801,,,1.515151515,174,COM
Congo (Brazzaville),2020/6/6 1:32,-0.228,15.8277,635,20,182,433,11.50760082,,,3.149606299,178,COG
Congo (Kinshasa),2020/6/6 1:32,-4.0383,21.7587,3764,81,512,3171,4.202703209,,,2.151965994,180,COD
